# Agent 4 Knowledge Log
# Format: time;event_type;knowledge
0;INIT;{4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 0}}
52;FinishTrip;{4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 0}, 3: {'pet': 'Zebra', 'house': 2, 'location': 4, 't': 52}}
95;FinishTrip;{4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 0}, 3: {'pet': 'Zebra', 'house': 2, 'location': 4, 't': 52}, 6: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 95}}
95;ChangePet;{4: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 95}, 3: {'pet': 'Zebra', 'house': 2, 'location': 4, 't': 52}, 6: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 95}}
96;FinishTrip;{4: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 95}, 3: {'pet': 'Zebra', 'house': 2, 'location': 4, 't': 96}, 6: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 95}}
100;FinishTrip;{4: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 95}, 3: {'pet': 'Zebra', 'house': 2, 'location': 4, 't': 96}, 6: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 95}, 5: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 100}}
144;FinishTrip;{4: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 95}, 3: {'pet': 'Zebra', 'house': 2, 'location': 4, 't': 96}, 6: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 95}, 5: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 144}}
160;FinishTrip;{4: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 95}, 3: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 160}, 6: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 95}, 5: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 144}}
183;FinishTrip;{4: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 95}, 3: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 160}, 6: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 95}, 5: {'pet': 'Zebra', 'house': 6, 'location': 6, 't': 183}}
191;FinishTrip;{4: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 95}, 3: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 160}, 6: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 95}, 5: {'pet': 'Zebra', 'house': 6, 'location': 6, 't': 191}}
191;ChangePet;{4: {'pet': 'Zebra', 'house': 4, 'location': 6, 't': 191}, 3: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 160}, 6: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 95}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}}
192;FinishTrip;{4: {'pet': 'Zebra', 'house': 4, 'location': 6, 't': 191}, 3: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 160}, 6: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 192}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}}
192;changeHouse;{4: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 192}, 3: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 160}, 6: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 192}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}}
192;ChangePet;{4: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 192}, 3: {'pet': 'Fish', 'house': 2, 'location': 4, 't': 160}, 6: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 192}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}}
198;FinishTrip;{4: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 192}, 3: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 198}, 6: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 192}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}}
198;FinishTrip;{4: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 192}, 3: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 198}, 6: {'pet': 'Zebra', 'house': 4, 'location': 5, 't': 198}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}}
198;changeHouse;{4: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 192}, 3: {'pet': 'Fish', 'house': 4, 'location': 5, 't': 198}, 6: {'pet': 'Zebra', 'house': 2, 'location': 5, 't': 198}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}}
198;ChangePet;{4: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 192}, 3: {'pet': 'Zebra', 'house': 4, 'location': 5, 't': 198}, 6: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 198}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}}
231;FinishTrip;{4: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 192}, 3: {'pet': 'Zebra', 'house': 4, 'location': 5, 't': 198}, 6: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 198}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}, 2: {'pet': 'Bear', 'house': 1, 'location': 1, 't': 231}}
234;FinishTrip;{4: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 192}, 3: {'pet': 'Zebra', 'house': 4, 'location': 5, 't': 198}, 6: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 198}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}, 2: {'pet': 'Bear', 'house': 1, 'location': 5, 't': 234}}
238;FinishTrip;{4: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 192}, 3: {'pet': 'Zebra', 'house': 4, 'location': 5, 't': 198}, 6: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 198}, 5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 191}, 2: {'pet': 'Bear', 'house': 1, 'location': 1, 't': 238}}
