# Agent 5 Knowledge Log
# Format: time;event_type;knowledge
328;changeHouse;{5: {'pet': 'Bear', 'house': 4, 'location': 1, 't': 328}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Zebra', 'house': 6, 'location': 6, 't': 313}}
341;FinishTrip;{5: {'pet': 'Bear', 'house': 4, 'location': 1, 't': 328}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 341}}
375;FinishTrip;{5: {'pet': 'Bear', 'house': 4, 'location': 1, 't': 328}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 375}}
375;changeHouse;{5: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 375}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
435;FinishTrip;{5: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 375}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Cat', 'house': 2, 'location': 6, 't': 435}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
435;changeHouse;{5: {'pet': 'Bear', 'house': 2, 'location': 6, 't': 435}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Cat', 'house': 6, 'location': 6, 't': 435}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
475;FinishTrip;{5: {'pet': 'Bear', 'house': 2, 'location': 6, 't': 435}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Cat', 'house': 6, 'location': 6, 't': 435}, 4: {'pet': 'Fish', 'house': 5, 'location': 5, 't': 475}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
575;FinishTrip;{5: {'pet': 'Bear', 'house': 2, 'location': 6, 't': 435}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Cat', 'house': 6, 'location': 6, 't': 435}, 4: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 575}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
598;FinishTrip;{5: {'pet': 'Bear', 'house': 2, 'location': 6, 't': 435}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Fish', 'house': 5, 'location': 2, 't': 598}, 4: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 575}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
598;changeHouse;{5: {'pet': 'Bear', 'house': 5, 'location': 2, 't': 598}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Fish', 'house': 2, 'location': 2, 't': 598}, 4: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 575}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
605;FinishTrip;{5: {'pet': 'Bear', 'house': 5, 'location': 2, 't': 598}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Fish', 'house': 2, 'location': 2, 't': 598}, 4: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 605}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
655;FinishTrip;{5: {'pet': 'Bear', 'house': 5, 'location': 2, 't': 598}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Fish', 'house': 2, 'location': 2, 't': 598}, 4: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 655}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
655;changeHouse;{5: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 655}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Fish', 'house': 2, 'location': 2, 't': 598}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 655}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
658;FinishTrip;{5: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 655}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Fish', 'house': 2, 'location': 2, 't': 598}, 4: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 658}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
682;ChangePet;{5: {'pet': 'Fish', 'house': 6, 'location': 5, 't': 682}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 2, 'location': 5, 't': 682}, 4: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 658}, 2: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 375}}
696;FinishTrip;{5: {'pet': 'Fish', 'house': 6, 'location': 5, 't': 682}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 2, 'location': 5, 't': 682}, 4: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 658}, 2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 696}}
699;FinishTrip;{5: {'pet': 'Fish', 'house': 6, 'location': 5, 't': 682}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 2, 'location': 5, 't': 682}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 696}}
728;FinishTrip;{5: {'pet': 'Fish', 'house': 6, 'location': 5, 't': 682}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 2, 'location': 6, 't': 728}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 696}}
728;changeHouse;{5: {'pet': 'Fish', 'house': 2, 'location': 6, 't': 728}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 728}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 696}}
733;FinishTrip;{5: {'pet': 'Fish', 'house': 2, 'location': 6, 't': 728}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 3, 'location': 2, 't': 733}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 696}}
733;changeHouse;{5: {'pet': 'Fish', 'house': 3, 'location': 2, 't': 733}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 696}}
766;FinishTrip;{5: {'pet': 'Fish', 'house': 3, 'location': 2, 't': 733}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 766}}
766;ChangePet;{5: {'pet': 'Dog', 'house': 3, 'location': 5, 't': 766}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Fish', 'house': 5, 'location': 5, 't': 766}}
774;FinishTrip;{5: {'pet': 'Dog', 'house': 3, 'location': 5, 't': 766}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Fish', 'house': 5, 'location': 5, 't': 766}, 3: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 774}}
774;changeHouse;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 774}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 328}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Fish', 'house': 5, 'location': 5, 't': 766}, 3: {'pet': 'Bear', 'house': 3, 'location': 6, 't': 774}}
774;FinishTrip;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 774}, 1: {'pet': 'Humpster', 'house': 1, 'location': 6, 't': 774}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Fish', 'house': 5, 'location': 5, 't': 766}, 3: {'pet': 'Bear', 'house': 3, 'location': 6, 't': 774}}
774;changeHouse;{5: {'pet': 'Dog', 'house': 1, 'location': 6, 't': 774}, 1: {'pet': 'Humpster', 'house': 3, 'location': 6, 't': 774}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Fish', 'house': 5, 'location': 5, 't': 766}, 3: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 774}}
785;FinishTrip;{5: {'pet': 'Dog', 'house': 1, 'location': 6, 't': 774}, 1: {'pet': 'Humpster', 'house': 3, 'location': 6, 't': 774}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Dog', 'house': 5, 'location': 6, 't': 699}, 2: {'pet': 'Zebra', 'house': 2, 'location': 1, 't': 785}, 3: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 774}}
794;FinishTrip;{5: {'pet': 'Dog', 'house': 1, 'location': 6, 't': 774}, 1: {'pet': 'Humpster', 'house': 3, 'location': 6, 't': 774}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 2, 'location': 1, 't': 785}, 3: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 774}}
822;FinishTrip;{5: {'pet': 'Dog', 'house': 1, 'location': 6, 't': 774}, 1: {'pet': 'Humpster', 'house': 3, 'location': 6, 't': 774}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 2, 'location': 1, 't': 785}, 3: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 822}}
843;FinishTrip;{5: {'pet': 'Dog', 'house': 1, 'location': 6, 't': 774}, 1: {'pet': 'Humpster', 'house': 3, 'location': 6, 't': 774}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 2, 'location': 1, 't': 785}, 3: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 843}}
843;changeHouse;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 843}, 1: {'pet': 'Humpster', 'house': 3, 'location': 6, 't': 774}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 2, 'location': 1, 't': 785}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
852;FinishTrip;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 843}, 1: {'pet': 'Humpster', 'house': 3, 'location': 6, 't': 774}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 2, 'location': 2, 't': 852}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
852;changeHouse;{5: {'pet': 'Dog', 'house': 2, 'location': 2, 't': 852}, 1: {'pet': 'Humpster', 'house': 3, 'location': 6, 't': 774}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 6, 'location': 2, 't': 852}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
919;FinishTrip;{5: {'pet': 'Dog', 'house': 2, 'location': 2, 't': 852}, 1: {'pet': 'Fish', 'house': 5, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 6, 'location': 2, 't': 852}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
919;changeHouse;{5: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 919}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 6, 'location': 2, 't': 852}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
976;FinishTrip;{5: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 919}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 6, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
976;changeHouse;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 976}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 794}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
981;FinishTrip;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 976}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Cat', 'house': 4, 'location': 6, 't': 981}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
982;FinishTrip;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 976}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 982}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
985;FinishTrip;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 976}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Cat', 'house': 4, 'location': 6, 't': 985}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
985;changeHouse;{5: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 985}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Cat', 'house': 6, 'location': 6, 't': 985}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1055;FinishTrip;{5: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 985}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Cat', 'house': 6, 'location': 6, 't': 1055}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1095;FinishTrip;{5: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 985}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Cat', 'house': 6, 'location': 6, 't': 1095}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1095;changeHouse;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 1095}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Cat', 'house': 4, 'location': 6, 't': 1095}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1147;FinishTrip;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 1095}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Cat', 'house': 4, 'location': 6, 't': 1147}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1167;FinishTrip;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 1095}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Cat', 'house': 4, 'location': 6, 't': 1167}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1228;FinishTrip;{5: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 1095}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Humpster', 'house': 1, 'location': 6, 't': 1228}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1228;changeHouse;{5: {'pet': 'Dog', 'house': 1, 'location': 6, 't': 1228}, 1: {'pet': 'Fish', 'house': 2, 'location': 5, 't': 919}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Humpster', 'house': 6, 'location': 6, 't': 1228}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1232;FinishTrip;{5: {'pet': 'Dog', 'house': 1, 'location': 6, 't': 1228}, 1: {'pet': 'Zebra', 'house': 2, 'location': 1, 't': 1232}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Humpster', 'house': 6, 'location': 6, 't': 1228}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1232;changeHouse;{5: {'pet': 'Dog', 'house': 2, 'location': 1, 't': 1232}, 1: {'pet': 'Zebra', 'house': 1, 'location': 1, 't': 1232}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Humpster', 'house': 6, 'location': 6, 't': 1228}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1232;FinishTrip;{5: {'pet': 'Dog', 'house': 2, 'location': 1, 't': 1232}, 1: {'pet': 'Zebra', 'house': 1, 'location': 1, 't': 1232}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Humpster', 'house': 6, 'location': 1, 't': 1232}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
1232;changeHouse;{5: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 1232}, 1: {'pet': 'Zebra', 'house': 6, 'location': 1, 't': 1232}, 6: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 733}, 4: {'pet': 'Humpster', 'house': 2, 'location': 1, 't': 1232}, 2: {'pet': 'Zebra', 'house': 5, 'location': 6, 't': 976}, 3: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 843}}
