# Agent 5 Knowledge Log
# Format: time;event_type;knowledge
0;INIT;{5: {'pet': 'Humpster', 'house': 5, 'location': 5, 't': 0}}
61;FinishTrip;{5: {'pet': 'Humpster', 'house': 5, 'location': 5, 't': 0}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}}
137;FinishTrip;{5: {'pet': 'Humpster', 'house': 5, 'location': 5, 't': 0}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 137}}
137;changeHouse;{5: {'pet': 'Humpster', 'house': 6, 'location': 6, 't': 137}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Fish', 'house': 5, 'location': 6, 't': 137}}
137;ChangePet;{5: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 137}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}}
165;FinishTrip;{5: {'pet': 'Fish', 'house': 6, 'location': 6, 't': 137}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 165}}
165;changeHouse;{5: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 165}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 165}}
169;FinishTrip;{5: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 165}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Bear', 'house': 6, 'location': 1, 't': 169}}
169;changeHouse;{5: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 169}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Bear', 'house': 1, 'location': 1, 't': 169}}
170;FinishTrip;{5: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 169}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 170}}
170;ChangePet;{5: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 170}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 170}}
185;FinishTrip;{5: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 170}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 185}}
189;FinishTrip;{5: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 170}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 1, 't': 189}}
190;FinishTrip;{5: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 170}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}}
296;FinishTrip;{5: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 170}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 296}}
296;changeHouse;{5: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 296}, 1: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 61}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Dog', 'house': 6, 'location': 4, 't': 296}}
310;FinishTrip;{5: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 296}, 1: {'pet': 'Zebra', 'house': 1, 'location': 4, 't': 310}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Dog', 'house': 6, 'location': 4, 't': 296}}
313;FinishTrip;{5: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 296}, 1: {'pet': 'Zebra', 'house': 1, 'location': 4, 't': 310}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Zebra', 'house': 6, 'location': 6, 't': 313}}
313;changeHouse;{5: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 313}, 1: {'pet': 'Dog', 'house': 4, 'location': 6, 't': 313}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Zebra', 'house': 6, 'location': 6, 't': 313}}
328;FinishTrip;{5: {'pet': 'Bear', 'house': 1, 'location': 6, 't': 313}, 1: {'pet': 'Dog', 'house': 4, 'location': 1, 't': 328}, 6: {'pet': 'Humpster', 'house': 5, 'location': 6, 't': 137}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 190}, 2: {'pet': 'Zebra', 'house': 6, 'location': 6, 't': 313}}
