# Agent 2 Knowledge Log
# Format: time;event_type;knowledge
488;FinishTrip;{2: {'pet': 'Zebra', 'house': 1, 'location': 1, 't': 477}, 4: {'pet': 'Dog', 'house': 4, 'location': 1, 't': 488}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 5, 'location': 1, 't': 477}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}}
488;FinishTrip;{2: {'pet': 'Zebra', 'house': 1, 'location': 1, 't': 477}, 4: {'pet': 'Dog', 'house': 4, 'location': 1, 't': 488}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 5, 'location': 1, 't': 477}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 6, 'location': 1, 't': 488}}
488;changeHouse;{2: {'pet': 'Zebra', 'house': 6, 'location': 1, 't': 488}, 4: {'pet': 'Dog', 'house': 4, 'location': 1, 't': 488}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 5, 'location': 1, 't': 477}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 488}}
490;FinishTrip;{2: {'pet': 'Zebra', 'house': 6, 'location': 1, 't': 488}, 4: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 490}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 5, 'location': 1, 't': 477}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 488}}
494;FinishTrip;{2: {'pet': 'Zebra', 'house': 6, 'location': 1, 't': 488}, 4: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 494}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 5, 'location': 1, 't': 477}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 488}}
494;changeHouse;{2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 494}, 4: {'pet': 'Dog', 'house': 6, 'location': 4, 't': 494}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 5, 'location': 1, 't': 477}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 488}}
546;FinishTrip;{2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 494}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 5, 'location': 1, 't': 477}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 488}}
546;FinishTrip;{2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 494}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 1, 'location': 1, 't': 546}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 488}}
546;changeHouse;{2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 494}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 546}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 488}}
580;FinishTrip;{2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 494}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 546}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 5, 'location': 5, 't': 580}}
580;changeHouse;{2: {'pet': 'Zebra', 'house': 5, 'location': 5, 't': 580}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 546}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 4, 'location': 5, 't': 580}}
580;ChangePet;{2: {'pet': 'Cat', 'house': 5, 'location': 5, 't': 580}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 546}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Zebra', 'house': 4, 'location': 5, 't': 580}}
608;FinishTrip;{2: {'pet': 'Cat', 'house': 5, 'location': 5, 't': 580}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 546}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 608}}
618;ChangePet;{2: {'pet': 'Zebra', 'house': 5, 'location': 1, 't': 618}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 546}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
655;FinishTrip;{2: {'pet': 'Zebra', 'house': 5, 'location': 1, 't': 618}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
759;FinishTrip;{2: {'pet': 'Zebra', 'house': 5, 'location': 1, 't': 618}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Bear', 'house': 3, 'location': 5, 't': 759}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
759;ChangePet;{2: {'pet': 'Bear', 'house': 5, 'location': 5, 't': 759}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Cat', 'house': 6, 'location': 2, 't': 61}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Zebra', 'house': 3, 'location': 5, 't': 759}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
766;FinishTrip;{2: {'pet': 'Bear', 'house': 5, 'location': 5, 't': 759}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 766}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Zebra', 'house': 3, 'location': 5, 't': 759}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
766;changeHouse;{2: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 766}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Dog', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Zebra', 'house': 3, 'location': 5, 't': 759}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
766;ChangePet;{2: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 766}, 4: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 546}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Zebra', 'house': 3, 'location': 5, 't': 759}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
828;ChangePet;{2: {'pet': 'Fish', 'house': 4, 'location': 1, 't': 828}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Zebra', 'house': 3, 'location': 5, 't': 759}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
840;FinishTrip;{2: {'pet': 'Fish', 'house': 4, 'location': 1, 't': 828}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Zebra', 'house': 3, 'location': 4, 't': 840}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
840;ChangePet;{2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 840}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
861;FinishTrip;{2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 840}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Fish', 'house': 3, 'location': 3, 't': 861}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
866;FinishTrip;{2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 840}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Dog', 'house': 6, 'location': 5, 't': 655}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
878;FinishTrip;{2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 840}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Cat', 'house': 5, 'location': 5, 't': 878}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
