# Agent 3 Knowledge Log
# Format: time;event_type;knowledge
0;INIT;{3: {'pet': 'Zebra', 'house': 3, 'location': 3, 't': 0}}
444;ChangePet;{3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 2: {'pet': 'Zebra', 'house': 5, 'location': 1, 't': 444}}
600;FinishTrip;{3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 2: {'pet': 'Zebra', 'house': 5, 'location': 1, 't': 444}, 5: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 600}}
759;FinishTrip;{3: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 444}, 2: {'pet': 'Zebra', 'house': 5, 'location': 5, 't': 759}, 5: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 600}}
759;ChangePet;{3: {'pet': 'Zebra', 'house': 3, 'location': 5, 't': 759}, 2: {'pet': 'Bear', 'house': 5, 'location': 5, 't': 759}, 5: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 600}}
840;FinishTrip;{3: {'pet': 'Zebra', 'house': 3, 'location': 5, 't': 759}, 2: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 840}, 5: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 600}}
840;ChangePet;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 840}, 5: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 600}}
861;FinishTrip;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Zebra', 'house': 4, 'location': 3, 't': 861}, 5: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 600}}
866;FinishTrip;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 866}, 5: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 600}}
882;FinishTrip;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 866}, 5: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 882}}
882;ChangePet;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 882}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 882}}
1665;FinishTrip;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 882}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 882}, 4: {'pet': 'Bear', 'house': 1, 'location': 1, 't': 1665}}
1665;ChangePet;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 882}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 882}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 1665}, 1: {'pet': 'Bear', 'house': 6, 'location': 1, 't': 1665}}
1686;FinishTrip;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 1686}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 882}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 1665}, 1: {'pet': 'Bear', 'house': 6, 'location': 1, 't': 1665}}
1801;FinishTrip;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 1686}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 882}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 1665}, 1: {'pet': 'Zebra', 'house': 2, 'location': 2, 't': 1801}}
1896;FinishTrip;{3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 840}, 2: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 1686}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 882}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 1665}, 1: {'pet': 'Zebra', 'house': 2, 'location': 2, 't': 1801}, 6: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 1896}}
1896;ChangePet;{3: {'pet': 'Dog', 'house': 3, 'location': 5, 't': 1896}, 2: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 1686}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 882}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 1665}, 1: {'pet': 'Zebra', 'house': 2, 'location': 2, 't': 1801}, 6: {'pet': 'Fish', 'house': 5, 'location': 5, 't': 1896}}
1960;ChangePet;{3: {'pet': 'Zebra', 'house': 3, 'location': 1, 't': 1960}, 2: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 1686}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 882}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 1960}, 1: {'pet': 'Zebra', 'house': 2, 'location': 2, 't': 1801}, 6: {'pet': 'Fish', 'house': 5, 'location': 5, 't': 1896}}
